and そして
preparation 準備
preparation 調製
preparation 仕込み
preparation 調合
nintendo 任天堂
declaration 布告
declaration 宣言
declaration 申告
burial 埋葬
governing 統治
jamaica ジャマイカ
vladimir ウラジーミル
beating 鼓動
methodist メソジスト
challenges 課題
challenges チャレンジ
challenges 挑戦
kenneth ケネス
celebration 祝賀会
celebration お祝い
bearing 軸受
manuscript 原稿
manuscript 写本
experiments 実験
chiefs チーフス
compound 化合物
tampa タンパ
associations 組合
targets ターゲット
alien エイリアン
sergeant 軍曹
thick 厚い
thick 太い
extend 延長
dismissed 解散
neo ネオ
wire ワイヤ
wire 針金
wire ワイヤー
measured 測定
fat 脂肪
visits 訪問
flights フライト
bennett ベネット
warm あったかい
warm 暖かい
warm 温かい
dynamic ダイナミック
shaw ショー
shaw ショウ
monuments モニュメント
monuments 記念碑
lords 諸侯
michel ミシェル
treat トリート
congregation 会衆
testament テスタメント
drinking 飲む
companion コンパニオン
manila マニラ
imagine イマジン
consideration 対価
veteran 退役軍人
doctors 医師
doctors 医者
eldest 長子
ruler ルーラー
ruler 定規
wise 英明
shipping 配送
registration 登録
registration 登記
directory ディレクトリ
wyoming ワイオミング
ronald ロナルド
cuban キューバ
burns バーンズ
burns やけど
sequel 続編
fate 運命
cole コール
oral 口頭
trans トランス
boards ボード
span スパン
santiago サンティアゴ
terrorist テロリスト
invented 発明
sandy サンディ
acres エーカー
paint ペンキ
paint ペイント
paint 塗料
stops 停車駅
integration 統合
integration インテグレーション
bibliography 参考文献
farming 農業
nonsense ナンセンス
marathon マラソン
beliefs 信念
redundant 冗長
preservation 保存
preservation 保全
altitude 高度
fernando フェルナンド
taxes 税金
marcus マルクス
marcus マーカス
stakes ステークス
dominican ドミニカ
franz フランツ
coins 硬貨
coins コイン
oxygen 酸素
civic シビック
isaac アイザック
isaac イサク
spell 呪文
spell スペル
craft 工芸
craft クラフト
inspiration インスピレーション
inspiration インスパイア
pairs ペア
vector ベクター
vector ベクトル
arc アーク
professionals プロフェッショナル
accusations 告発
approaches アプローチ
slaves 奴隷
mad マッド
spectrum スペクトル
client クライアント
dozen ダース
symbols シンボル
symbols 記号
plaza プラザ
banking 銀行
legion レギオン
symptoms 症状
symptoms 徴候
mosque モスク
guys みんな
lab 研究室
lab ラボ
sailing セーリング
orientation 方向
orientation 向き
orientation オリエンテーション
generic ジェネリック
reasoning 推論
stroke ストローク
efficient 効率
opens 開く
impression インプレッション
discover 発見
roosevelt ルーズベルト
dancer ダンサー
phenomenon 現象
anchor アンカー
procedures 手続
procedures プロシージャ
procedures 手順
procedures 手続き
timber 材木
timber 木材
fisher フィッシャー
cartoon カートゥーン
disorder 無秩序
demands 要求
lithuania リトアニア
continent 大陸
fellowship フェローシップ
lock ロック
lock 錠前
warrant 令状
overview 概要
overview 概観
acquisition 買収
eve イブ
eve イヴ
filter フィルタ
filter フィルター
addresses アドレス
slovenia スロベニア
observation 傍聴
observation 観察
observation 観測
threats 脅威
threats 威嚇
threats 脅迫
protocol 議定書
protocol プロトコル
judgment 判断
judgment 判決
grammy グラミー
colours カラー
package パッケージ
controls コントロール
prisoner 捕虜
prisoner 囚人
signals シグナル
signals 合図
signals 信号
owen オーウェン
owen オーエン
arriving 到着
cylinder 円柱
cylinder シリンダー
shops 店舗
shops ショップ
dome ドーム
epic 叙事詩
epic エピック
specified 特定
specified 指定された
kinds 種類
collapse 崩壊
collapse たたむ
allan アラン
sight 光景
canyon 峡谷
samples サンプル
celebrity セレブリティ
celebrity 有名人
priests 司祭
workshop ワークショップ
workshop 作業場
herzegovina ヘルツェゴヴィナ
claude クロード
fortune フォーチュン
bars バー
palmer パーマー
presidency 総裁
tiny タイニー
tiny ちっちゃい
tiny ちび
tiny 小さい
istanbul イスタンブール
rookie ルーキー
calgary カルガリー
shock ショック
shock 衝撃
stevens スティーヴンス
employee 社員
employee 職員
earning 稼ぐ
innovation 革新
innovation イノベーション
streams ストリーム
unity 統一
lucas ルーカス
grows 育つ
armenia アルメニア
interchange インターチェンジ
swimmers 競泳
mainland 本土
seminary 神学校
hamlet ハムレット
timeline 年表
negotiations 交渉
exhibitions 展示
malta マルタ
hate 憎悪
hate 嫌い
hate 憎しみ
installation 設置
installation インストール
goalkeeper ゴールキーパー
julian ジュリアン
morocco モロッコ
efficiency 効率
chapters チャプター
helicopter ヘリコプター
fewer 少ない
fortress 要塞
ani アニ
torpedo 魚雷
giovanni ジョヴァンニ
giovanni ジョバンニ
chat チャット
chat 雑談
chuck チャック
pit ピット
optional オプション
desk デスク
sprint スプリント
exile 流罪
exile 亡命
achievements 実績
achievements 事跡
achievements 業績
achievements 事績
achievements 功績
sit 座る
alpine 高山
bills 紙幣
glacier 氷河
binding バインディング
binding 拘束
estonia エストニア
eating 食べる
saving 保存
developer デベロッパー
indie インディー
difficulties 困難
doctrine 教義
doctrine ドクトリン
fork フォーク
simpson シンプソン
hotels ホテル
edmonton エドモントン
literacy 識字
currency 通貨
missionary 宣教師
hammer ハンマー
hammer ハマー
dollar ドル
dollar yen
ambassadors 大使
ambassadors アンバサダー
twitter ツイッター
solomon ソロモン
recommend おすすめ
recommend すすめる
recommend 薦める
descendants 子孫
descendants 後裔
descendants 末裔
ruth ルース
handling ハンドリング
handling 取扱
handling 取り扱い
customs 風習
collect 徴収
collect 集める
collect 収集
grid グリッド
certificate 証明書
certificate 証書
destination 行き先
destination 目的地
destination 宛先
euro ユーロ
consumption 消費
constantly 常時
constantly 絶えず
mansion マンション
cardiff カーディフ
temples 寺院
blake ブレイク
sheet シート
lift エレベーター
lift リフト
confidence 自信
confidence 信頼
cuisine 料理
galaxy 銀河
galaxy 銀河系
ecuador エクアドル
breeding 繁殖
outbreak アウトブレイク
legendary 伝説
handball ハンドボール
copenhagen コペンハーゲン
trek トレック
trek トレッキング
ignored 無視
arch アーチ
keys キー
proceedings 審理
enjoy 楽しむ
quartet カルテット
aims 目的
propaganda プロパガンダ
disk ディスク
realized 実現
neat ストレート
neat きちんと
funny 面白い
punishment 処罰
accuracy 正確性
accuracy 精度
meter メーター
suspension 休止
suspension サスペンション
graduation 卒業
seeds 種子
seeds シード
lighting 照明
jennifer ジェニファー
smooth スムーズ
smooth スムース
smooth 滑らか
customer カスタマー
customer 顧客
armstrong アームストロング
powell パウエル
kills kill
taste 味見
taste 味覚
bros ブロス
assertion 表明
assertion 主張
boulevard 大通り
boulevard ブールバール
brooks ブルックス
sending 送信
atomic アトミック
atomic 原子
antarctica 南極大陸
antarctica 南極
reconstruction 再建
traveling 旅行
devon デヴォン
ghana ガーナ
duncan ダンカン
pianist ピアニスト
canon カノン
pack パック
iceland アイスランド
payment 支払
payment 決済
payment 支払い
suburbs 郊外
militia 民兵
pronounced 発音
exhibit 展示
glen グレン
compromise 妥協
uganda ウガンダ
somehow なんとなく
withdraw 引き出す
holmes ホームズ
promise 約束
deals クーポン
convert 変換
convert コンバート
dos ドス
afternoon 午後
recall リコール
warrior 戦士
mammals 哺乳類
dimensions サイズ
dimensions 寸法
gaming ゲーム
ports ポート
amy エミー
survival サバイバル
responses レスポンス
responses 回答
scandal スキャンダル
scandal 不祥事
widow 未亡人
swing スウィング
swing スイング
nights ナイツ
polo ポロ
linda リンダ
probability 確率
crazy クレイジー
witness 証人
mutual 相互
diet ダイエット
diet 献立
diet 国会
clients クライアント
fringe フリンジ
passion パッション
passion 情熱
passion 受難
rings リング
rings 指輪
dialect 方言
orlando オーランドー
orlando オーランド
orlando オルランド
relay リレー
wet 濡れ
cruise クルーズ
publish 公開
joy ジョイ
joy 喜び
julia ジュリア
julia ユリア
kitchen キッチン
kitchen 台所
abstract 抽象
snake ヘビ
comedian コメディアン
motorcycle バイク
motorcycle オートバイ
arsenal アーセナル
arsenal 工廠
millennium ミレニアム
assists アシスト
bow ボウ
bow お辞儀
bow おじぎ
bow 船首
andré アンドレ
suite スイート
doug ダグ
gravity グラビティ
gravity 重力
optical 光学
frontier フロンティア
evaluation 評価
evaluation 評定
graph グラフ
hybrid ハイブリッド
oslo オスロ
earn 獲得
earn 稼ぐ
metre メートル
keyboard キーボード
complicated 複雑
nathan ネイサン
circular 円形
armor アーマー
armor 装甲
mechanics 力学
leon レオン
rachel レイチェル
header ヘッダ
header ヘッダー
hood フード
hood ボンネット
inspector 検査官
warnings 警告
relatives 親族
relatives 親戚
wheels ホイール
wheels 車輪
ace エース
joke ジョーク
joke 冗談
andrews アンドリュース
moderate 中道
commanding 指揮
pin ピン
carol キャロル
prototype プロトタイプ
copied 複写
canterbury カンタベリー
midnight ミッドナイト
midnight 真夜中
duchy 公国
performers 演者
exploration 探検
repeat 繰り返す
repeat 繰り返し
planets 惑星
reconnaissance 偵察
shots ショット
complaint 苦情
complaint クレーム
batman バットマン
verify 認証
verify 検証
absent 不在
absent 欠席
girlfriend ガールフレンド
resignation 辞表
resignation 辞任
resignation 辞職
fossil 化石
inches インチ
franco フランコ
dying 瀕死
tyler タイラー
surrender 降伏
glenn グレン
substance 物質
luxembourg ルクセンブルク
explosion 爆発
generations 世代
duck カモ
duck アヒル
duck ダック
porter ポーター
memphis メンフィス
salvador サルバドール
emma エマ
zoo 動物園
macedonia マケドニア
curtis カーティス
gaelic ゲーリック
slovakia スロバキア
elevated 高架
listen 聴く
egg エッグ
conquest 征服
rod ロッド
algorithm アルゴリズム
burn 焼き
burn 火傷
burn やけど
thesis テーゼ
thesis 論文
lover 恋人
capitol キャピトル
ferdinand フェルディナンド
marshal 元帥
balls ボール
nacional ナシオナル
wrestlers レスラー
ahmed アーメド
sin シン
holocaust ホロコースト
edgar エドガー
saxophone サックス
curriculum カリキュラム
wishes 願いごと
prepare 準備
ruins 廃墟
ruins 遺跡
nigerian ナイジェリア
jesse ジェシー
malaysian マレーシア
atlas アトラス
telegraph 電報
performer パフォーマー
performer 演奏者
cannon 大砲
encounter 遭遇
encounter 出会い
emily エミリー
dissolved 解散
catalogue カタログ
discrimination 差別
wizard 魔法使い
wizard ウィザード
teen 十代
teen ティーン
spots 斑点
quest クエスト
connor コナー
screenplay 脚本
minimal 最小限
muscle マッスル
muscle 筋肉
chelsea チェルシー
strict 厳重
sheep ヒツジ
andrea アンドレア
complaints クレーム
complaints 苦情
nursing 看護
richardson リチャードソン
triangle トライアングル
triangle 三角形
fluid 流体
documentation ドキュメント
documentation ドキュメンテーション
compounds 化合物
instances インスタンス
laser レーザー
sculptor 彫刻
sculptor 彫刻家
guild ギルド
observer オブザーバー
observer オブザーバ
wrestler レスラー
praise 賞賛
praise 賛美
cox コックス
contracts 契約
provisions 条文
provisions 規定
circulation 循環
butterfly チョウ
butterfly バタフライ
abolished 廃止
algeria アルジェリア
armies 軍隊
separation 別居
separation 分離
spy スパイ
cliff クリフ
reactions リアクション
trick トリック
curve カーブ
curve 曲線
accidents 事故
horizontal 水平
enzyme 酵素
freight 貨物
hydrogen 水素
caroline キャロライン
pull 引っ張る
pull プル
plymouth プリマス
cuts 切り傷
mediation あっせん
mediation 調停
airfield 飛行場
catalog カタログ
dale デイル
dale デール
synthesis 合成
rape 強姦
rape レイプ
seoul ソウル
engagement 婚約
coin 硬貨
coin コイン
lucy ルーシー
platinum プラチナ
platinum 白金
twins 双子
memories 思い出
anthology アンソロジー
defining 定義
dinner ディナー
dinner 夕食
hosting ホスティング
hosting 主催
thriller スリラー
retreat 退却
retreat 撤退
albany オールバニ
albany アルバニー
abdul アブドゥル
ignore 無視
migration 移行
magnitude 等級
sudan スーダン
duration 期間
henderson ヘンダーソン
explorer エクスプローラー
marco マルコ
fusion フュージョン
aids エイズ
privately 非公開
automobile 自動車
fault 断層
fault フォールト
fault フォルト
pound パウンド
pound ポンド
delay ディレイ
delay 遅延
semifinals 準決勝
belfast ベルファスト
arctic 北極
kurt クルト
assumption 想定
assumption 就任
nominee ノミネート
monroe モンロー
hearts ハーツ
belgrade ベオグラード
victories 勝利
pale 青白い
pale ペール
pursuit 追跡
pursuit 追求
glory グローリー
lectures レクチャー
lectures 講義
lectures 講演
affiliate アフィリエイト
deceased 故人
speaks 喋る
angry 怒り
incomplete 未完成
configuration 構成
configuration 設定
brad ブラッド
skill スキル
intense 激しい
tasmania タスマニア
commitment コミットメント
commitment 収容
reforms 改革
rulers ルーラー
rulers 定規
uruguay ウルグアイ
napoleon ナポレオン
confirm 確認
breed 品種
enabled 有効
discography 作品
discography ディスコグラフィ
licence ライセンス
refugees 難民
adrian エイドリアン
pipe パイプ
karen カレン
budapest ブダペスト
designers デザイナー
heir 相続
advisor アドバイザー
authorized 認可
hide ヒデ
hide 隠す
announcement 告知
announcement アナウンス
announcement 発表
announcement 公表
announcement お知らせ
compact コンパクト
tissue ティッシュ
particles 粒子
particles パーティクル
vinyl ビニール
delayed 遅延
wednesday 水曜
wednesday 水曜日
chilean チリ
hey ヘイ
chambers チェンバーズ
chambers チェンバース
demo デモ
nationwide 全国
ahmad アフマド
santos サントス
submit 送信
submit 提出
followers フォロワー
observatory 天文台
kit キット
remarks 備考
inns 旅館
monarch 君主
monarch モナーク
observations 観測
footnotes 脚注
beetle ビートル
cream クリーム
presenter 司会
potter ポッター
favourite お気に入り
transformation 変換
mcdonald マクドナルド
bavaria バイエルン
mixture 混合物
browser ブラウザー
browser ブラウザ
mate マテ
mate メイト
lyon リヨン
illustration イラスト
kyle カイル
brook 小川
geometry ジオメトリ
geometry 図形
aggregate 集計
aggregate 集約
baroque バロック
integral 積分
hopes 希望
cornell コーネル
modes モード
servant 召使
kenny ケニー
maker メーカー
inline インライン
carlo カルロ
lynn リン
stability 安定
stability 安定性
confusing ややこしい
confusing 紛らわしい
joel ジョエル
jets ジェッツ
logos ロゴ
logos ロゴス
winnipeg ウィニペグ
kilometers キロ
kilometers キロメートル
buddhism 仏教
pace ペース
thunder サンダー
physicians 医師
bolivia ボリビア
crops 農産物
crops 作物
monk モンク
lessons レッスン
lessons 授業
pub パブ
paralympics パラリンピック
monte モンテ
segments セグメント
deer シカ
wireless ワイヤレス
consultant コンサルタント
fraser フレーザー
formats フォーマット
formats 書式
jam ジャム
chicken 鶏肉
chicken ニワトリ
chicken チキン
idol アイドル
births 誕生
amazing 素晴らしい
amazing 凄い
amazing すごい
pet ペット
upset 動揺
stretch ストレッチ
striker ストライカー
hopkins ホプキンス
goddess 女神
burials 埋葬
voltage 電圧
betty ベティ
marion マリオン
cyclone サイクロン
export 輸出
export エクスポート
lightning ライトニング
impressed 感動
impressed 感心
logical 論理
jin ジン
julie ジュリー
ludwig ルートヴィヒ
suburban 郊外
moments モーメント
lucky ラッキー
speedway スピードウェイ
regiments 連隊
toy おもちゃ
toy オモチャ
toy 玩具
bicycle 自転車
interactions 相互作用
fraud 詐欺
lang ラング
arcade ゲームセンター
arcade アーケード
lecture 講義
lecture 教本
lecture 講演
sanctuary 聖域
dragons ドラゴンズ
dragons ドラゴン
copa コパ
careful 注意深い
nurse ナース
rivals ライバル
module モジュール
lens レンズ
patron パトロン
commands コマンド
trend トレンド
trend 流行
superintendent 警視
gerald ジェラルド
rap ラップ
geneva ジュネーブ
geneva ジュネーヴ
blade 刃物
blade ブレイド
disappeared 失踪
array 配列
array アレイ
loose ゆるい
loose ルース
boom ブーム
smoke スモーク
assassination 暗殺
reynolds レイノルズ
divorce 離婚
dust ダスト
dust 砂塵
dust ほこり
grain 穀物
translations 翻訳
zimbabwe ジンバブエ
cohen コーヘン
cohen コーエン
diving ダイビング
accounting 経理
accounting 会計
mesa メサ
prussia プロイセン
intelligent 知能
intelligent 知的
intelligent インテリジェント
cherry サクランボ
cherry チェリー
tobacco タバコ
tobacco たばこ
varieties 品種
bench ベンチ
directions 方向
directions 道順
padding パディング
measurement 測定
paradise パラダイス
paradise 楽園
alexandria アレクサンドリア
witch 魔女
witch ウィッチ
attraction アトラクション
diana ダイアナ
colleagues 同僚
busy 忙しい
busy ビジー
rankings ランキング
wagner ワーグナー
wagner ワグナー
sanctions 制裁
instructor 講師
instructor インストラクター
nobility 貴族
divorced 離婚
tomorrow 明日
tomorrow あした
manuscripts 写本
scouts スカウト
silva シルバ
derek デレック
derek デレク
agenda 議事
agenda 議題
provision 支給
provision 条項
provision 条文
humanity 人類
admit 認める
trinidad トリニダード
distant 遠い
burke バーク
circles サークル
assignment 譲渡
assignment 代入
assignment 割り当て
shrine 神社
sail 船出
celebrate 祝う
ranch 牧場
vampire ヴァンパイア
vampire 吸血鬼
playwright 劇作家
sick 病気
heinrich ハインリヒ
ethiopia エチオピア
flags フラグ
flags 国旗
shorts ショーツ
drives ドライブ
autobiography 自伝
uprising 蜂起
edwin エドウィン
velocity 速度
terminology 用語
coordinates 座標
brighton ブライトン
viola ヴィオラ
viola ビオラ
para パラ
morrison モリソン
boxer ボクサー
finale フィナーレ
disabled 無効
tactics 戦術
innocent 無実
rapper ラッパー
privacy プライバシー
rosa ローザ
flute フルート
feminist フェミニズム
feminist フェミニスト
sculptures 彫刻
bacteria 細菌
bacteria バクテリア
disorders 疾患
prevention 予防
prevention 防止
healthy ヘルシー
healthy 健康
circus サーカス
speculation 投機
burma ビルマ
quiet 静けさ
quiet 静か
knee ひざ
deliver 届け
hypothesis 仮説
travelling 旅行
pastor 牧師
sofia ソフィア
tribune トリブヌス
permit 許可証
permit 許可
pounds ポンド
cent セント
consequence 帰結
furniture 家具
honest 正直
innovative 革新
estimate 見積もり
rotation 回転
rotation ローテーション
syracuse シラキュース
lecturer 講師
kosovo コソボ
classics 古典
julius ジュリアス
julius ユリウス
naples ナポリ
sebastian セバスティアン
sebastian セバスティアヌス
sebastian セバスチャン
offense 違反
barnes バーンズ
exceptions 例外
martha マーサ
drawings 図面
barely 辛うじて
refuge 避難
elliott エリオット
diplomat 外交官
particle 粒子
thursday 木曜日
thursday 木曜
genes 遺伝子
infinite インフィニット
vale ヴェイル
randy ランディ
convoy 船団
annie アニー
believing 信ずる
mineral 鉱物
surgeon 外科医
badge バッジ
charleston チャールストン
clause 条項
infection 伝染病
infection 感染
electron 電子
walt ウォルト
likewise 同じく
tonight 今夜
tonight トゥナイト
tonight 今晩
confederation 連盟
casino カジノ
guatemala グアテマラ
settings セッティング
settings 設定
mask 仮面
mask マスク
shelter シェルター
shelter 避難所
dorothy ドロシー
elimination 除去
heath ヒース
pregnant 妊娠
richards リチャーズ
theodore テオドール
blair ブレア
phrases フレーズ
preference 好み
concerto 協奏曲
concerto コンチェルト
bits ビット
tune メロディ
tune チューン
unofficial 非公式
bulk バルク
lighthouse 灯台
stan スタン
highland 高地
highland ハイランド
mascot マスコット
acceptance 承諾
acceptance 受入れ
acceptance 承認
acceptance 受付
tight きつい
hub ハブ
mess 混乱
routine ルーチン
routine 日課
reviewing 復習
dubbed 吹き替え
spotted 斑点
harmony ハーモニー
harmony 調和
entrepreneur 起業
apollo アポロ
moses モーゼ
moses モーゼス
nominating 指名
fake フェイク
revolt 反乱
equity エクイティ
equity 持分
providence プロビデンス
tenor テナー
pocket ポケット
sad 悲しい
troy トロイ
troy イリオス
treasure 宝物
treasure 財宝
ion イオン
roberto ロベルト
decrease 減らす
crop トリミング
crop 切り取る
crop 切り取り
treasury 国庫
trumpet トランペット
johnston ジョンストン
norton ノートン
collector コレクター
cluster クラスタ
dear ディア
georges ジョルジュ
roller ローラー
clothes 被服
clothes 洋服
sovereign 主権
enhanced 強化された
compensation 補てん
compensation 補償
compensation 賠償
compensation 弁償
compensation 報酬
consent 同意
consent 承諾
outline アウトライン
outline 概略
outline 概説
holdings ホールディングス
jorge ホルヘ
darkness 暗闇
blow ブロウ
blow ブロー
cooking 調理
cooking クッキング
cooking 料理
aftermath 余波
trainer トレーナー
measuring 測定
lawsuit 訴訟
lawsuit 訴え
retiring 引退
chip チップ
consciousness 意識
archaeology 考古学
latvia ラトビア
blogs ブログ
protecting 保護
hardy ハーディ
nicknamed 愛称
stamp 切手
stamp スタンプ
nat ナット
fur 毛皮
ritual 儀式
trace トレース
marble 大理石
nottingham ノッティンガム
derivative デリバティブ
derivative 微分
dimension ディメンション
dimension 次元
dimension 寸法
crawford クロフォード
bats コウモリ
tanzania タンザニア
motto 標語
concentrated 濃縮
dirty 汚い
dirty ダーティ
dirty ダーティー
identifying 識別
genres ジャンル
galleries ギャラリー
forbes フォーブス
brass 真鍮
bach バッハ
alias 別名
alias 偽名
alias エイリアス
inland 内陸
tough タフ
tough 厳しい
advertisement 広告
protagonist 主人公
claire クレア
mistakes 間違い
dylan ディラン
bag バッグ
bag かばん
churchill チャーチル
tan タン
climb 登る
witnesses 証人
kazakhstan カザフスタン
bots ボット
presenting 提示
presenting プレゼン
highlights 見どころ
highlights ハイライト
slovak スロバキア
skull 髑髏
skull 頭蓋骨
missionaries 宣教師
myth 神話
stern スターン
stern 船尾
fees 手数料
bet 賭ける
bet ベット
bet 賭け
monks 僧侶
dancers ダンサー
dancers 踊り子
quantity 数量
cairo カイロ
sue スー
armament 軍需
barrier バリア
barrier 障壁
creatures 生き物
erik エリック
silence サイレンス
silence 無音
silence 沈黙
jessica ジェシカ
plateau 台地
plateau 高原
finite 有限
precedent 先例
precedent 判例
walsh ウォルシュ
zones ゾーン
intensity 輝度
intensity 光度
exterior 外側
paragraphs 段落
costume コスチューム
costume 仮装
costume 衣装
costume 装束
costume 服飾
bike バイク
bike 自転車
imprisonment 禁錮
suffolk サフォーク
forwards 進む
remarkable 著しい
tin スズ
garcia ガルシア
madagascar マダガスカル
cameras カメラ
ammunition 弾薬
explore 探検
minneapolis ミネアポリス
bullet 弾丸
bullet 銃弾
kerry ケリー
subway 地下鉄
arrow 矢印
arrow アロー
economist エコノミスト
bread パン
bread ブレッド
lou ルー
strategies 戦略
rubber ラバー
rubber ゴム
rifles 小銃
cognitive 認知
slam スラム
portsmouth ポーツマス
audiences 観客
audiences オーディエンス
boarding 搭乗
boarding 乗車
joshua ヨシュア
casey ケーシー
kilometres キロメートル
pump ポンプ
prey 捕食
diary 日記
inscription 銘文
inscription 碑文
dubai ドバイ
michelle ミシェル
lebanese レバノン
happening ハプニング
researcher 研究者
researcher 研究員
demonstration デモンストレーション
demonstration 実演
demonstration デモ
equality 平等
trap トラップ
invitation 招聘
invitation 招待
marking マーキング
expertise 専門
admission 入場
admission 入学
admission 入園
sacramento サクラメント
casting 鋳造
submarines 潜水艦
prohibited 禁止
governance ガバナンス
sometime いつか
frog カエル
vague 曖昧
secular 世俗
tracking トラッキング
spa スパ
publicity 広報
publicity 宣伝
watts ワッツ
gibraltar ジブラルタル
fever 発熱
melody メロディ
melody メロディー
supporter サポーター
jeffrey ジェフリー
surnames 名字
useless 役立たず
swift スイフト
swift スウィフト
tuesday 火曜日
silly バカ
silly 愚か
empress 皇后
empress 女帝
newman ニューマン
scales スケール
scales ウロコ
lifestyle 生き方
lifestyle ライフスタイル
bee ビー
brandon ブランドン
maya マヤ
sequences シーケンス
breast 乳房
breast 母乳
beast 野獣
beast ビースト
raja ラージャ
preparing 準備
proportion 比率
proportion 割合
ana アナ
ceiling 天井
rainbow レインボー
demon 悪魔
demon 悪霊
prussian プロイセン
equations 方程式
perception 知覚
entities エンティティ
jackie ジャッキー
fiji フィジー
homer ホーマー
larvae 幼虫
limestone 石灰岩
chaos カオス
chaos 混沌
chang チャン
crater クレーター
chad チャド
webster ウェブスター
excess 超過
bombardment 砲撃
ashley アシュリー
ashley アシュレイ
dot ドット
translator 翻訳
cowboys カウボーイ
hanging 絞首刑
soprano ソプラノ
workshops ワークショップ
terrain 地形
belarus ベラルーシ
console コンソール
graduates 卒業生
jungle ジャングル
placement 配置
fairy フェアリー
fairy 妖精
tourists ツーリスト
quarterly 四半期
diploma ディプロマ
circa 年頃
environments 環境
swan 白鳥
swan スワン
carpenter 大工
petition 請願
boris ボリス
berry ベリー
invention 発明
southampton サウサンプトン
bend 曲げる
app アプリ
explicit 明示
slight わずか
drag ドラッグ
maxwell マックスウェル
maxwell マクスウェル
everyday 日常
everyday 毎日
oriental オリエンタル
manufacture 製造業
coordinator コーディネーター
bassist ベーシスト
superman スーパーマン
colombian コロンビア
felix フェリックス
voluntary 任意
floating フローティング
floating 浮動
sketch スケッチ
mann マン
flooding 洪水
escort エスコート
escort 護送
astronomy 天文学
variables 変数
arbitrary 任意
skiing スキー
timothy ティモシー
cello チェロ
rainfall 降雨量
rainfall 降雨
sphere 球体
sphere 球面
sphere 球形
rewrite 書き換え
rewrite 書き直し
rewrite リライト
georg ゲオルク
cinematography 撮影
canvas キャンバス
krishna クリシュナ
provider プロバイダ
provider プロバイダー
frances フランセス
cabin キャビン
cabin 船室
civilization 文明
avoided 忌避
lisbon リスボン
panels パネル
darwin ダーウィン
cheese チーズ
easter イースター
rat ラット
rat ネズミ
papua パプア
insert 挿入
informal 略式
informal 非公式
castles 城郭
cry クライ
cry 泣く
cry 泣き
humor ユーモア
madonna マドンナ
worcester ウスター
trips 旅行
fountain 噴水
consulting コンサルティング
patricia パトリシア
garcía ガルシア
quit 辞める
quit 終了
maple メープル
maple カエデ
aberdeen アバディーン
verb 動詞
illustrations 挿絵
illustrations イラスト
mechanisms メカニズム
reds レッズ
posters ポスター
leipzig ライプツィヒ
santo サント
expelled 退学
strait 海峡
stefan シュテファン
stefan ステファン
alto アルト
thomson トムソン
communicate コミュニケーション
alphabet アルファベット
zagreb ザグレブ
chef シェフ
carnegie カーネギー
prizes 懸賞
prizes 賞品
eighteen 十八
shirt シャツ
loading ローディング
edges エッジ
plantation プランテーション
vernon ヴァーノン
acre エーカー
wonderful 素晴らしい
wonderful ワンダフル
missiles ミサイル
guides ガイド
finger フィンガー
garage ガレージ
garage 車庫
savage サベージ
climbing 登山
climbing クライミング
barrel バレル
biographies 伝記
ham ハム
valve バルブ
commenting コメント
osaka 大阪
analog アナログ
monkey サル
tackle タックル
integrity 整合性
definitions 定義
operas オペラ
troop 部隊
marina マリーナ
detection 検知
detection 検出
differential 差動
differential 微分
venus ウェヌス
venus 金星
venus ヴィーナス
salmon サケ
salmon サーモン
monarchy 君主制
stade スタッド
francesco フランチェスコ
abortion 流産
monica モニカ
elephant ゾウ
trademark 商標
ton トン
counting カウント
corn コーン
corn トウモロコシ
corn とうもろこし
trucks トラック
lengthy 長文
par パー
tension 緊張
tension テンション
cleaning クリーニング
cleaning 洗浄
cleaning 清掃
cleaning 掃除
judgement 判断
judgement 審判
catalina カタリナ
disasters 災害
lesbian レズビアン
withdrawal 脱退
withdrawal 離脱
withdrawal 撤退
walks ウォーキング
realm レルム
trailer トレーラー
trailer 予告編
janet ジャネット
tornado トルネード
tornado 竜巻
aunt 叔母
aunt おば
genesis ジェネシス
shallow 浅い
shallow 浅瀬
mentioning 言及
scattered 散逸
boyfriend 彼氏
boyfriend ボーイフレンド
consolidated 連結
catholicism カトリシズム
luther ルター
pleasure 快感
pleasure 喜び
pleasure 快楽
seeks シーク
webb ウェッブ
alberto アルベルト
magical マジカル
deliberately わざと
sacrifice 犠牲
sacrifice 生贄
faction 派閥
olive オリーブ
corridor 回廊
corridor 廊下
molecules 分子
kiev キエフ
vista ビスタ
castro カストロ
lineup ラインナップ
ultra ウルトラ
bulletin 掲示
bulletin 公報
clinic クリニック
clinic 診療所
pollution 公害
pollution 汚染
questionable 疑わしい
sally サリー
rex レックス
afghan アフガン
afghan アフガニスタン
vatican バチカン
folklore 伝承
affiliation 所属
cruiser 巡洋艦
cruiser クルーザー
silk シルク
agreements 協定
armour 装甲
stamps 切手
specimens 標本
consumers 消費者
cage ケージ
correspondence 対応
correspondence 通信
tehran テヘラン
cheshire チェシャ
amanda アマンダ
bye バイ
employer 事業主
static スタティック
nixon ニクソン
panthers パンサーズ
objection 異議
chocolate チョコレート
helsinki ヘルシンキ
cambodia カンボジア
grandmother おばあさん
grandmother 祖母
jung ユング
brilliant ブリリアント
libya リビア
angela アンジェラ
creature 生き物
gather 集める
android アンドロイド
